id,sender,subject,email_text,label
37452,healthcare37452@service.co,Project Update,Reminder for your upcoming health checkup appointment.,Ham
11032,bankingscam11032@support.io,Exclusive Offer,Security alert detected. Confirm your banking information immediately.,Spam
49003,education49003@company.org,Appointment Reminder,Your assignment submission deadline is approaching.,Ham
38851,education38851@mail.com,Invoice Notice,Your assignment submission deadline is approaching.,Ham
28340,finance28340@mail.com,Support Update,Please review the attached invoice for processing.,Ham
11668,lottery11668@company.org,Reward Waiting,You have won a grand prize. Complete the claim process now.,Spam
12693,shoppingoffers12693@company.org,Reward Waiting,Huge seasonal sale with limited-time rewards.,Spam
39154,office39154@support.io,Course Information,Kindly provide your feedback on the latest proposal.,Ham
46190,education46190@company.org,Appointment Reminder,Please attend the scheduled academic session.,Ham
1643,shoppingoffers1643@mail.com,Reward Waiting,Huge seasonal sale with limited-time rewards.,Spam
31851,finance31851@inbox.net,Meeting Reminder,Your monthly account statement is now available.,Ham
12221,cryptoscam12221@support.io,Win Cash,Double your investment with this exclusive crypto opportunity.,Spam
3050,fakejobs3050@company.org,Exclusive Offer,Start your dream job from home and get paid weekly.,Spam
24287,fakejobs24287@mail.com,Claim Prize,Work remotely and earn a high monthly income with no experience.,Spam
28878,office28878@support.io,Meeting Reminder,The team meeting agenda has been shared for discussion.,Ham
27345,healthcare27345@service.co,Course Information,Reminder for your upcoming health checkup appointment.,Ham
24319,bankingscam24319@support.io,Investment Opportunity,Your bank account requires urgent verification to avoid suspension.,Spam
135,lottery135@service.co,Claim Prize,You have won a grand prize. Complete the claim process now.,Spam
28672,education28672@support.io,Support Update,The course materials have been uploaded to the portal.,Ham
38582,personal38582@inbox.net,Appointment Reminder,Thank you for your support and assistance.,Ham
40801,education40801@support.io,Appointment Reminder,Please attend the scheduled academic session.,Ham
47621,education47621@service.co,Course Information,Your assignment submission deadline is approaching.,Ham
16527,lottery16527@mail.com,Investment Opportunity,Your lucky ticket has been chosen for a cash reward.,Spam
42473,education42473@support.io,Project Update,The course materials have been uploaded to the portal.,Ham
16413,phishing16413@company.org,Claim Prize,Your email account password is expiring. Update credentials now.,Spam
31576,healthcare31576@inbox.net,Course Information,Reminder for your upcoming health checkup appointment.,Ham
